concept_id_1,concept_id_2,relationship_id,valid_start_date,valid_end_date,invalid_reason
44498002,86652c16-f5a1-40ff-bd23-43ae3f8a9162,Concept of,2021-01-30,2099-12-31,NA
86652c16-f5a1-40ff-bd23-43ae3f8a9162,44498003,Has concept,2021-01-30,2099-12-31,NA
44498003,86652c16-f5a1-40ff-bd23-43ae3f8a9162,Concept of,2021-01-30,2099-12-31,NA
deafd9d1-b7e6-49ed-9edd-fea48ea7199f,35934827,Has concept,2021-01-30,2099-12-31,NA
35934827,deafd9d1-b7e6-49ed-9edd-fea48ea7199f,Concept of,2021-01-30,2099-12-31,NA
deafd9d1-b7e6-49ed-9edd-fea48ea7199f,35927879,Has concept,2021-01-30,2099-12-31,NA
35927879,deafd9d1-b7e6-49ed-9edd-fea48ea7199f,Concept of,2021-01-30,2099-12-31,NA
deafd9d1-b7e6-49ed-9edd-fea48ea7199f,35938080,Has concept,2021-01-30,2099-12-31,NA
35938080,deafd9d1-b7e6-49ed-9edd-fea48ea7199f,Concept of,2021-01-30,2099-12-31,NA
deafd9d1-b7e6-49ed-9edd-fea48ea7199f,35933027,Has concept,2021-01-30,2099-12-31,NA
35933027,deafd9d1-b7e6-49ed-9edd-fea48ea7199f,Concept of,2021-01-30,2099-12-31,NA
deafd9d1-b7e6-49ed-9edd-fea48ea7199f,35938517,Has concept,2021-01-30,2099-12-31,NA
35938517,deafd9d1-b7e6-49ed-9edd-fea48ea7199f,Concept of,2021-01-30,2099-12-31,NA
deafd9d1-b7e6-49ed-9edd-fea48ea7199f,35912113,Has concept,2021-01-30,2099-12-31,NA
35912113,deafd9d1-b7e6-49ed-9edd-fea48ea7199f,Concept of,2021-01-30,2099-12-31,NA
deafd9d1-b7e6-49ed-9edd-fea48ea7199f,35912003,Has concept,2021-01-30,2099-12-31,NA
35912003,deafd9d1-b7e6-49ed-9edd-fea48ea7199f,Concept of,2021-01-30,2099-12-31,NA
696e873b-3125-439e-95e4-4adfcde724af,4129913,Has concept,2021-01-30,2099-12-31,NA
4129913,696e873b-3125-439e-95e4-4adfcde724af,Concept of,2021-01-30,2099-12-31,NA
696e873b-3125-439e-95e4-4adfcde724af,4130411,Has concept,2021-01-30,2099-12-31,NA
4130411,696e873b-3125-439e-95e4-4adfcde724af,Concept of,2021-01-30,2099-12-31,NA
696e873b-3125-439e-95e4-4adfcde724af,4127501,Has concept,2021-01-30,2099-12-31,NA
4127501,696e873b-3125-439e-95e4-4adfcde724af,Concept of,2021-01-30,2099-12-31,NA
696e873b-3125-439e-95e4-4adfcde724af,4128450,Has concept,2021-01-30,2099-12-31,NA
4128450,696e873b-3125-439e-95e4-4adfcde724af,Concept of,2021-01-30,2099-12-31,NA
696e873b-3125-439e-95e4-4adfcde724af,4128456,Has concept,2021-01-30,2099-12-31,NA
4128456,696e873b-3125-439e-95e4-4adfcde724af,Concept of,2021-01-30,2099-12-31,NA
696e873b-3125-439e-95e4-4adfcde724af,4129914,Has concept,2021-01-30,2099-12-31,NA
4129914,696e873b-3125-439e-95e4-4adfcde724af,Concept of,2021-01-30,2099-12-31,NA
696e873b-3125-439e-95e4-4adfcde724af,4129915,Has concept,2021-01-30,2099-12-31,NA
4129915,696e873b-3125-439e-95e4-4adfcde724af,Concept of,2021-01-30,2099-12-31,NA
696e873b-3125-439e-95e4-4adfcde724af,4130412,Has concept,2021-01-30,2099-12-31,NA
4130412,696e873b-3125-439e-95e4-4adfcde724af,Concept of,2021-01-30,2099-12-31,NA
696e873b-3125-439e-95e4-4adfcde724af,4121054,Has concept,2021-01-30,2099-12-31,NA
4121054,696e873b-3125-439e-95e4-4adfcde724af,Concept of,2021-01-30,2099-12-31,NA
696e873b-3125-439e-95e4-4adfcde724af,4106768,Has concept,2021-01-30,2099-12-31,NA
4106768,696e873b-3125-439e-95e4-4adfcde724af,Concept of,2021-01-30,2099-12-31,NA
696e873b-3125-439e-95e4-4adfcde724af,4121176,Has concept,2021-01-30,2099-12-31,NA
4121176,696e873b-3125-439e-95e4-4adfcde724af,Concept of,2021-01-30,2099-12-31,NA
696e873b-3125-439e-95e4-4adfcde724af,4123017,Has concept,2021-01-30,2099-12-31,NA
4123017,696e873b-3125-439e-95e4-4adfcde724af,Concept of,2021-01-30,2099-12-31,NA
62e81ce7-0044-4fad-8b39-ae045ff4e931,764839,Has concept,2021-01-30,2099-12-31,NA
764839,62e81ce7-0044-4fad-8b39-ae045ff4e931,Concept of,2021-01-30,2099-12-31,NA
